title,director,cast,date_added,description
Neon Horizons,Amelia Reed,"Ivy Larsen, Marco Bishop, Quinn Reyes",2021-02-11,"A synthwave-infused mystery about cartographers who chart living memories."
Paper Planets,Corbin Hale,"Mara Singh, Lionel Cortez, Anika Wilder",,"Two exhausted teachers build miniature solar systems to cope with their finals week."
Clockwork Orchard,Sloane Everett,"Jonah Pike, Reva Maddox, Eliot Carr",2019-09-04,"A steampunk botanist retools abandoned gears into self-pruning fruit trees."
Midnight Kiln,Ophelia Voss,"Dante Rowe, Kira Dalton, Helene Strauss",2020-12-21,"After dark, a desert town fires ceramics that trap the sound of passing trains."
Tidal Archive,Rowan Calder,"Gia Howell, Preston Ng, Lila Barrett",2023-05-17,"Archivists in a floating library race to digitize memories before the tide erases them."
Borrowed Comets,Nico Barrera,"Sammy Lowell, Petra Hayward, Orion Lee",2022-08-30,"A rideshare for wayward comets forces its drivers to confront unfinished wishes."
Glasswork Hearts,Faye Rangel,"Sawyer Bell, Mina Okafor, Elsie Trammell",2018-07-12,"A repair shop that fixes breakups by blowing bespoke stained-glass ventricles."
Cloud Harbor,Desmond Ibarra,"Thalia Moon, Pierce Conway, Wren Calder",,"Pilots shepherd weather balloons carrying secrets across a thunderous coastline."
Emberline Express,Lisette Carver,"Theo Katz, Ramona Quinn, Jasper Ahmed",2021-11-03,"Couriers on a volcanic railway deliver letters that ignite upon being read."
Luminous Grain,Mateo Arledge,"Billie Serrano, Omar Keane, Lydia Frost",2022-02-25,"A down-on-their-luck baker discovers flour that glows with the emotions of diners."
Polar Static,Helena Rudd,"Callum Kern, Priya Savoy, Felix Drummond",2020-03-09,"Glaciologists tune giant antennas to listen for gossip frozen in arctic ice."
Serpent Valley,Isela Vaughn,"Noah Pike, Beatriz Lorne, Kyrie Abbott",2019-01-18,"Three estranged siblings inherit a vineyard irrigated by obedient holographic snakes."
Signal for Tomorrow,Andre Keller,"Daria Holt, Mason Ji, Isla Petrakis",2024-04-05,"A ham-radio collective relays farewell messages between parallel futures."
Painted Frequencies,Greta Lo,"Juno Keys, Madeline Ortiz, Beck Cannon",,"Graffiti artists discover that certain colors broadcast pirate radio sermons."
Granite Parlor,Edison Chu,"Riley Shore, Octavia West, Malik Garner",2017-06-28,"A boutique hotel petrifies guests' luggage, revealing their truest souvenirs."
Echoes of Cedar Ridge,Valeria Pruitt,"Alden Shaw, Celine Bryer, Judah Locke",2023-01-14,"Forest rangers chase ghostly music that lures hikers toward forgotten fire towers."
Kintsugi Skies,Theo March,"Imani Cortez, Ezra Hollis, Coco Navarra",2021-09-08,"Storm chasers fill cracks in the clouds to reroute drought-ending rains."
Orchard of Satellites,Julien Mercer,"Harper Wynn, Pax Delgado, Tessa Bloom",2018-04-19,"Retired astronauts cultivate bonsai antennas that whisper telemetry lullabies."
Velvet Parallax,Nadia Sterling,"Rhys Porter, Salma Noor, Bennett Crowe",2022-10-27,"A noir tailor stitches suits that allow clients to walk through unresolved scenes."
Lantern Variations,Micah Duarte,"Kay Rivera, Liam Darzi, Noor Bianchi",2019-12-02,"Teen musicians trade melodies to keep bioluminescent lanterns from dimming."
